gene name,1
ENST00000343516.6,ENSG00000167971.13
ENST00000590561.1,ENSG00000105290.5
ENST00000315567.8,ENSG00000169288.13
ENST00000529142.1,ENSG00000143393.12
ENST00000556840.1,ENSG00000172590.13
ENST00000262306.7,ENSG00000103363.10
ENST00000257245.4,ENSG00000134809.4
ENST00000529698.1,ENSG00000149091.10
ENST00000297532.6,ENSG00000164896.14
ENST00000397087.3,ENSG00000091428.12
ENST00000570914.1,ENSG00000141504.7
ENST00000447388.3,ENSG00000066136.14
ENST00000356834.3,ENSG00000197226.8
ENST00000260867.4,ENSG00000138297.9
ENST00000522299.1,ENSG00000120885.14
ENST00000572954.1,ENSG00000103363.10
ENST00000344843.7,ENSG00000242485.1
ENST00000424542.2,ENSG00000065054.8
ENST00000452857.1,ENSG00000062598.12
ENST00000319334.8,ENSG00000169246.11
ENST00000309328.3,ENSG00000173465.3
ENST00000378339.2,ENSG00000132563.11
ENST00000264932.6,ENSG00000073578.11
ENST00000393919.4,ENSG00000102977.8
ENST00000331666.6,ENSG00000184110.10
ENST00000246672.3,ENSG00000126368.5
ENST00000263774.4,ENSG00000213619.4
ENST00000244137.6,ENSG00000124299.8
ENST00000572723.1,ENSG00000174231.12
ENST00000371384.3,ENSG00000124098.9
ENST00000392038.2,ENSG00000105221.10
ENST00000395366.2,ENSG00000213639.5
ENST00000541436.1,ENSG00000120437.7
ENST00000517603.1,ENSG00000156467.5
ENST00000310144.6,ENSG00000087191.8
ENST00000378750.5,ENSG00000121680.11
ENST00000539299.1,ENSG00000212694.4
ENST00000405883.3,ENSG00000115694.10
ENST00000527141.1,ENSG00000174080.6
ENST00000341745.3,ENSG00000188933.7
ENST00000409906.4,ENSG00000103363.10
ENST00000447614.2,ENSG00000105393.10
ENST00000216264.8,ENSG00000100422.9
ENST00000331738.6,ENSG00000111011.11
ENST00000456958.2,ENSG00000229833.2
ENST00000310624.6,ENSG00000100285.9
ENST00000551665.1,ENSG00000135486.11
ENST00000294244.4,ENSG00000168005.4
ENST00000269373.6,ENSG00000141560.9
ENST00000337894.4,ENSG00000163485.11
ENST00000292644.3,ENSG00000161057.6
ENST00000398153.1,ENSG00000111906.12
ENST00000446987.1,ENSG00000136271.6
ENST00000378670.3,ENSG00000164405.6
ENST00000310123.3,ENSG00000153902.9
ENST00000367595.3,ENSG00000135847.4
ENST00000259037.3,ENSG00000136521.8
ENST00000532972.1,ENSG00000118363.7
ENST00000324262.4,ENSG00000133313.10
ENST00000380591.3,ENSG00000145741.10
ENST00000467780.1,ENSG00000204314.6
ENST00000345046.6,ENSG00000185825.10
ENST00000402752.1,ENSG00000099901.12
ENST00000276689.3,ENSG00000147684.3
ENST00000375104.2,ENSG00000204310.6
ENST00000579978.1,ENSG00000141552.13
ENST00000296529.6,ENSG00000164124.6
ENST00000381769.2,ENSG00000004660.10
ENST00000330871.2,ENSG00000184557.3
ENST00000265758.2,ENSG00000071462.7
ENST00000565143.1,ENSG00000067225.12
ENST00000393033.4,ENSG00000123159.10
ENST00000539854.1,ENSG00000173113.2
ENST00000222402.2,ENSG00000078967.6
ENST00000301587.4,ENSG00000167863.7
ENST00000351500.3,ENSG00000123349.8
ENST00000248342.4,ENSG00000178982.5
ENST00000330836.5,ENSG00000089737.11
ENST00000344087.4,ENSG00000214967.4
ENST00000267615.5,ENSG00000100605.11
ENST00000338631.6,ENSG00000100813.9
ENST00000357480.5,ENSG00000082641.11
ENST00000378427.1,ENSG00000157870.9
ENST00000451102.2,ENSG00000166548.11
ENST00000248673.3,ENSG00000128016.3
ENST00000318006.5,ENSG00000166887.11
ENST00000396859.1,ENSG00000111640.9
ENST00000482485.1,ENSG00000102030.11
ENST00000309324.4,ENSG00000174917.4
ENST00000326195.8,ENSG00000204574.7
ENST00000270517.6,ENSG00000130159.8
ENST00000395839.1,ENSG00000170315.8
ENST00000007516.3,ENSG00000004779.5
ENST00000467371.1,ENSG00000115306.10
ENST00000336180.2,ENSG00000106683.8
ENST00000393366.2,ENSG00000159199.8
